time,E_scr_pv,c_temp_pv,k_rpm_pv,n_temp_pv,scale_pv,s_temp_pv
2023-12-02 03:03:03,8.0,69.6,182.0,67.2,3.004,67.1
2023-12-02 03:16:59,8.0,69.6,182.0,67.2,3.004,67.1
